 par_1      , f_value    
 +5.0189e+01, -4.4053e+01
 +5.2137e+01, -4.2751e+01
 +5.2345e+01, -4.2205e+01
 +5.2405e+01, -4.2047e+01
 +3.3743e+01, -3.6543e+01
 +3.3825e+01, -3.6525e+01
 +3.1000e+01, -3.6335e+01
 +4.7000e+01, -3.5897e+01
 +3.8650e+01, -3.5449e+01
 +4.5096e+01, -3.4719e+01
 +2.9262e+01, -2.9899e+01
 +2.8510e+01, -2.9111e+01
 +2.7818e+01, -2.8386e+01
 +2.7449e+01, -2.8000e+01
 +1.1100e+02, -1.6138e+01
 -3.3000e+01, -1.6134e+01
 -3.2183e+01, -1.5426e+01
 +1.1004e+02, -1.5309e+01
 -3.2030e+01, -1.5293e+01
 -3.2030e+01, -1.5293e+01
 +1.5000e+01, -1.4968e+01
 +1.4961e+01, -1.4926e+01
 +1.0955e+02, -1.4886e+01
 +6.3000e+01, -1.4228e+01
 +6.3333e+01, -1.3352e+01
 +1.2692e+01, -1.2552e+01
 +1.2156e+01, -1.1991e+01
 +1.1709e+01, -1.1522e+01
 +1.1580e+01, -1.1387e+01
 +1.1475e+01, -1.1277e+01
 +1.1456e+01, -1.1257e+01
 +9.0492e+01, -5.0730e+00
 +8.9486e+01, -3.4224e+00
 -1.7000e+01, -2.2711e+00
 +8.8353e+01, -3.4317e-01
 +8.7768e+01, +7.8941e-02
 -1.4154e+01, +1.9487e-01
 +9.3543e+01, +1.0299e+00
 -1.0000e+00, +1.7824e+00
 -1.2672e+00, +2.0621e+00
 +9.5000e+01, +3.9462e+00
 -3.0923e+00, +3.9728e+00
 +9.5180e+01, +4.3066e+00
 -3.9785e+00, +4.9005e+00
 -4.6151e+00, +5.5669e+00
 -4.8518e+00, +5.8147e+00
 +7.9000e+01, +6.4098e+00
 +7.7957e+01, +7.1633e+00
 -1.1598e+01, +7.4659e+00
 -1.0367e+01, +1.1588e+01
